"scientificName"
"Anthophora pueblo Orr, 2016"
"Osmia nigrobarbata Cockerell, 1916"
"Perdita hirticeps apicata Timberlake, 1960"
"Anthidium tenuiflorae Cockerell, 1907"
"Perdita ericameriae Timberlake, 1958"
"Melissodes tessellata LaBerge, 1956"
"Perdita thelypodii Timberlake, 1958"
"Melitta californica Viereck, 1909"
"Perdita similis similis"
"Andrena luteihirta Donovan, 1977"
"Perdita trisignata ornata Timberlake, 1954"
"Perdita scitula antiochensis Timberlake, 1960"
"Osmia physariae Cockerell, 1907"
"Osmia raritatis Michener, 1957"
"Dufourea vernalis Timberlake, 1939"
"Dieunomia triangulifera (Vachal, 1897)"
"Melissodes metenua Cockerell, 1924"
"Lasioglossum pacificum (Cockerell, 1898)"
"Osmia regulina Cockerell, 1911"
"Perdita interrupta interrupta"
"Dianthidium dubium dilectum Timberlake, 1948"
"Melissodes monoensis LaBerge, 1961"
"Melissodes limbus LaBerge, 1961"
"Perdita zonalis aequalis Timberlake, 1958"
"Perdita adjuncta Timberlake, 1958"
"Calliopsis anthidia Fowler, 1899"
"Dianthidium heterulkei heterulkei"
"Dufourea dentipes Bohart, 1948"
"Calliopsis comptula (Cockerell, 1916)"
"Anthophora salazariae Timberlake, 1937"
"Melissodes nigracauda LaBerge, 1961"
"Andrena vicina Smith, 1853"
"Andrena escondida Cockerell, 1938"
"Perdita lateralis lateralis"
"Andrena trizonata (Ashmead, 1890)"
"Melissodes composita Tucker, 1909"
"Perdita vittata conformis Timberlake, 1964"
"Hylaeus personatellus (Cockerell, 1915)"
"Agapostemon virescens (Fabricius, 1775)"
"Chelostoma marginatum Michener, 1938"
"Osmia thysanisca Michener, 1957"
"Anthophora occidentalis Cresson, 1869"
"Ericrocis lata (Cresson, 1879)"
"Nomada elegantula Cockerell, 1903"
"Anthophora californica texana Cresson, 1872"
"Melissodes grindeliae Cockerell, 1898"
"Dianthidium pudicum (Cresson, 1879)"
"Anthidium palliventre Cresson, 1878"
"Megachile wheeleri Mitchell, 1927"
"Melissodes bicolorata LaBerge, 1961"
"Anthophora flavocincta Huard, 1897"
"Melissodes thelypodii Cockerell, 1905"
"Anthophora bomboides sodalis Cresson, 1879"
"Megachile bradleyi Mitchell, 1934"
"Anthophora marginata Smith, 1854"
"Svastra sabinensis sabinensis"
"Bombus vagans vagans"
"Xylocopa californica arizonensis Cresson, 1879"
"Nomada suavis Cresson, 1878"
"Dianthidium dubium Schwarz, 1928"
"Dieunomia nevadensis stellata (Cross, 1958)"
"Perdita eximia Timberlake, 1964"
"Dianthidium subparvum Swenk, 1914"
"Atoposmia pycnognatha (Michener, 1943)"
"Perdita isocomae Timberlake, 1958"
"Ashmeadiella rufipes Titus, 1904"
"Melissodes tepida tepida"
"Hoplitis xerophila (Cockerell, 1935)"
"Ashmeadiella occipitalis Michener, 1939"
"Nomada mckenziei Timberlake & Cockerell, 1937"
"Heriades gracilior Cockerell, 1897"
"Eucera californica deserticola (Timberlake, 1969)"
"Perdita sonorensis Cockerell, 1899"
"Osmia giffardi Sandhouse, 1939"
"Tetraloniella arizonica (Cockerell, 1937)"
"Megachile texana Cresson, 1878"
"Perdita yosemitensis Timberlake, 1962"
"Ashmeadiella leucozona Cockerell, 1924"
"Dufourea calientensis Timberlake, 1939"
"Colletes lutzi monticola Timberlake, 1951"
"Colletes stepheni Timberlake, 1958"
"Hylaeus coloradensis (Cockerell, 1896)"
"Andrena rufosignata Cockerell, 1902"
"Andrena angustella Cockerell, 1936"
"Andrena helianthi Robertson, 1891"
"Dufourea malacothricis Timberlake, 1939"
"Conanthalictus bakeri Crawford, 1907"
"Anthophorula torticornis (Cockerell, 1927)"
"Calliopsis chlorops Cockerell, 1899"
"Andrena chalybioides (Viereck, 1904)"
"Ashmeadiella eurynorhyncha Michener, 1939"
"Perdita polytropica obsoleta Timberlake, 1962"
"Eucera primiveris (Timberlake, 1969)"
"Perdita similis Timberlake, 1958"
"Protandrena euphorbiae (Timberlake, 1955)"
"Andrena sphaeralceae Linsley, 1939"
"Sphecodes sophiae Cockerell, 1898"
"Andrena impolita LaBerge, 1987"
"Heriades texanus Michener, 1938"
"Anthophora rhodothorax Michener, 1936"
"Dufourea calochorti (Cockerell, 1924)"
"Andrena mackieae Cockerell, 1937"
"Dufourea echinocacti Timberlake, 1939"
"Anthidium illustre Cresson, 1879"
"Ashmeadiella difugita Michener, 1939"
"Dianthidium curvatum (Smith, 1854)"
"Anthophorula compactula Cockerell, 1897"
"Ashmeadiella gillettei Titus, 1904"
"Coelioxys serricaudata Baker, 1975"
"Perdita salicis tristis Timberlake, 1964"
"Calliopsis larreae (Timberlake, 1952)"
"Halictus harmonius Sandhouse, 1941"
"Osmia pagosa Sandhouse, 1939"
"Coelioxys mesae Cockerell, 1921"
"Chalicodoma davidsoni"
"Perdita verbesinae Cockerell, 1896"
"Anthidium rodecki Schwarz, 1934"
"Calliopsis personata Cockerell, 1897"
"Andrena medionitens Cockerell, 1902"
"Andrena latifrons LaBerge, 1977"
"Dufourea nudicornis Timberlake, 1939"
"Melissodes glenwoodensis Cockerell, 1905"
"Hoplitis truicauda (Timberlake & Michener, 1950)"
"Osmia bucephala Cresson, 1864"
"Ashmeadiella rhodognatha Cockerell, 1924"
"Eucera albescens (Timberlake, 1969)"
"Xenoglossa angustior Cockerell, 1899"
"Diadasia sphaeralcearum Cockerell, 1905"
"Melecta californica Cresson, 1879"
"Melecta bohartorum Linsley, 1939"
"Melissodes utahensis LaBerge, 1961"
"Triepeolus californicus (Cresson, 1878)"
"Osmia subfasciata Cresson, 1872"
"Coelioxys edita Cresson, 1872"
"Diadasia ochracea (Cockerell, 1903)"
"Megachile gravita Mitchell, 1934"
"Andrena layiae Timberlake, 1951"
"Perdita stathamae Timberlake, 1964"
"Calliopsis hesperia equina (Cockerell, 1925)"
"Ashmeadiella foxiella Michener, 1939"
"Melissodes ablusa Cockerell, 1926"
"Nomada pascoensis Cockerell, 1903"
"Perdita heterothecae Cockerell, 1900"
"Osmia densa Cresson, 1864"
"Perdita rivalis Timberlake, 1958"
"Perdita lepidosparti novella Timberlake, 1958"
"Osmia grinnelli Cockerell, 1910"
"Xeralictus timberlakei Cockerell, 1927"
"Ashmeadiella altadenae Michener, 1936"
"Atoposmia nitidivitta (Michener, 1943)"
"Andrena rozeni Linsley & MacSwain, 1955"
"Calliopsis deserticola Shinn, 1967"
"Anthophorula rufiventris (Timberlake, 1947)"
"Exomalopsis solani Cockerell, 1896"
"Coelioxys texana Cresson, 1872"
"Coelioxys hirsutissima Cockerell, 1912"
"Colletes perileucus Cockerell, 1924"
"Colletes intermixtus Swenk, 1905"
"Colletes lutzi interior Timberlake, 1951"
"Andrena macoupinensis Robertson, 1900"
"Calliopsis coloratipes Cockerell, 1898"
"Andrena arabis Robertson, 1897"
"Dufourea versatilis rubriventris Michener, 1951"
"Nomia angustitibialis Ribble, 1965"
"Osmia cyanella Cockerell, 1897"
"Melecta pacifica Cresson, 1879"
"Atoposmia elongata (Michener, 1936)"
"Hoplitis incanescens (Cockerell, 1922)"
"Hoplitis cryptanthae (Timberlake & Michener, 1950)"
"Paranthidium jugatorium perpictum (Cockerell, 1898)"
"Ashmeadiella cubiceps (Cresson, 1879)"
"Stelis lateralis Cresson, 1864"
"Calliopsis obscurella Cresson, 1879"
"Anthidium emarginatum (Say, 1824)"
"Stelis laticincta Cresson, 1878"
"Melissodes coreopsis Robertson, 1905"
"Anthophora pachyodonta Cockerell, 1923"
"Perdita dammersi Timberlake, 1964"
"Perdita salicis Cockerell, 1896"
"Hylaeus annulatus (Linnaeus, 1758)"
"Hylaeus leptocephalus (Morawitz, 1870)"
"Dufourea sandhouseae arida Bohart, 1949"
"Anthophora mortuaria Timberlake, 1937"
"Hoplitis bidenticauda (Timberlake & Michener, 1950)"
"Atoposmia copelandica (Cockerell, 1908)"
"Epeolus americanus (Cresson, 1878)"
"Anthophora abrupta Say, 1837"
"Anthophora estebana Cockerell, 1923"
"Ashmeadiella xenomastax Michener, 1939"
"Andrena cressonii Robertson, 1891"
"Anthophora crotchii Cresson, 1879"
"Anthophora signata Brooks, 1988"
"Anthophora coptognatha Timberlake, 1951"
"Epeolus compactus Cresson, 1878"
"Melissodes coloradensis Cresson, 1879"
"Lithurgus apicalis Cresson, 1875"
"Calliopsis subalpina Cockerell, 1894"
"Nomadopsis scitula lawae (Michener, 1937)"
"Tetraloniella pomonae (Cockerell, 1915)"
"Agapostemon tyleri Cockerell, 1917"
"Lasioglossum titusi (Crawford, 1902)"
"Osmia bakeri Sandhouse, 1924"
"Perdita bohartorum Timberlake, 1956"
"Perdita mellea Timberlake, 1954"
"Diadasia martialis Timberlake, 1940"
"Triepeolus antiochensis Rightmyer, 2008"
"Colletes phaceliae Cockerell, 1906"
"Colletes wootoni Cockerell, 1897"
"Hylaeus cookii (Metz, 1911)"
"Andrena laminibucca Viereck & Cockerell, 1914"
"Andrena sublayiae LaBerge & Bouseman, 1970"
"Atoposmia viguierae (Cockerell, 1935)"
"Calliopsis cincta Cresson, 1879"
"Melissodes minuscula LaBerge, 1961"
"Agapostemon coloradinus (Vachal, 1903)"
"Hoplitis seminigra (Timberlake & Michener, 1950)"
"Dufourea sandhouseae (Michener, 1937)"
"Stelis subemarginata Cresson, 1878"
"Dufourea fimbriata (Cresson, 1878)"
"Anthophora affabilis Cresson, 1879"
"Ashmeadiella salviae Michener, 1939"
"Stelis micheneri Linsley, 1939"
"Perdita nevadensis Cockerell, 1896"
"Perdita haigi Timberlake, 1962"
"Anthophora platti Timberlake, 1951"
"Megachile policaris Say, 1831"
"Andrena stipator LaBerge, 1971"
"Andrena quadrilimbata LaBerge, 1977"
"Colletes simulans nevadensis Swenk, 1908"
"Perdita foleyi Timberlake, 1958"
"Dufourea tuolumne Bohart, 1947"
"Triepeolus dacotensis (Stevens, 1919)"
"Melissodes tepida Cresson, 1879"
"Perdita vesca Timberlake, 1968"
"Diadasia laticauda Cockerell, 1905"
"Melissodes confusa Cresson, 1879"
"Hoplitis caudex (Timberlake & Michener, 1950)"
"Nomada citrina Cresson, 1878"
"Osmia calcarata White, 1952"
"Perdita eremica Timberlake, 1964"
"Hylaeus modestus Say, 1837"
"Stelis rubi Cockerell, 1898"
"Andrena perarmata Cockerell, 1898"
"Perdita numerata hesperia Timberlake, 1960"
"Triepeolus concavus (Cresson, 1878)"
"Perdita hirticeps luteocincta Timberlake, 1960"
"Micralictoides altadenae (Michener, 1937)"
"Anthidium banningense Cockerell, 1904"
"Andrena penemisella LaBerge & Ribble, 1975"
"Atoposmia robustula (Cockerell, 1935)"
"Anthidium atripes Cresson, 1879"
"Exomalopsis similis Cresson, 1865"
"Colletes mandibularis Smith, 1853"
"Colletes kincaidii Cockerell, 1898"
"Andrena prolixa LaBerge, 1980"
"Perdita swezeyi Timberlake, 1958"
"Megachile melanderi Mitchell, 1944"
"Lasioglossum cooleyi (Crawford, 1906)"
"Chalicodoma subexilis"
"Ashmeadiella inyoensis Michener, 1939"
"Xeromelecta larreae (Cockerell, 1900)"
"Perdita ashmeadi vierecki Cockerell, 1907"
"Osmia lanei Sandhouse, 1939"
"Coelioxys moesta Cresson, 1864"
"Triepeolus diffusus Rightmyer, 2008"
"Dianthidium implicatum Timberlake, 1948"
"Perdita beatula Timberlake, 1960"
"Svastra obliqua obliqua"
"Eucera stretchii (Cresson, 1879)"
"Perdita koebelei concinna Timberlake, 1964"
"Perdita hirticeps Timberlake, 1960"
"Anthophora fulvicauda Timberlake, 1937"
"Perdita lucens Timberlake, 1962"
"Andrena aurihirta Donovan, 1977"
"Anthophora linsleyi Timberlake, 1941"
"Dufourea neocalifornica Bohart, 1947"
"Ashmeadiella cockerelli Michener, 1936"
"Megachile xerophila Cockerell, 1933"
"Eucera acerba (Cresson, 1879)"
"Florilegus condignus (Cresson, 1879)"
"Triepeolus helianthi (Robertson, 1897)"
"Halictus confusus confusus"
"Perdita arenaria Timberlake, 1954"
"Perdita utahensis Cockerell, 1896"
"Perdita cladothricis Cockerell, 1896"
"Anthidium dammersi Cockerell, 1937"
"Nomada crotchii Cresson, 1878"
"Brachynomada annectens (Snelling & Rozen, 1987)"
"Rhopalolemma rotundiceps Roig-Alsina, 1997"
"Perdita aureovittata Cockerell, 1916"
"Andrena atypica (Cockerell, 1941)"
"Dufourea viridis Timberlake, 1941"
"Augochlorella neglectula (Cockerell, 1897)"
"Melissodes menuachus Cresson, 1868"
"Melissodes rivalis Cresson, 1872"
"Micralictoides ruficaudus (Michener, 1937)"
"Dioxys pomonae pomonae"
"Coelioxys banksi Crawford, 1914"
"Osmia obliqua White, 1952"
"Ashmeadiella opuntiae (Cockerell, 1897)"
"Andrena commoda Smith, 1879"
"Dianthidium pudicum pudicum"
"Andrena plumiscopa Timberlake, 1951"
"Melissodes perpolita LaBerge, 1961"
"Anthophora furcata (Panzer, 1798)"
"Osmia sequoiae Michener, 1936"
"Nomada pallidelutea Swenk, 1915"
"Osmia nanula Cockerell, 1897"
"Melissodes verbesinarum Cockerell, 1905"
"Dioxys pomonae timberlakei Hurd, 1958"
"Protandrena albitarsis (Cresson, 1872)"
"Osmia odontogaster Cockerell, 1897"
"Andrena nigra Provancher, 1895"
"Megandrena mentzeliae Zavortink, 1972"
"Perdita labrata Timberlake, 1962"
"Perdita salviae Timberlake, 1964"
"Ceratina pacifica H.S.Smith, 1907"
"Triepeolus remigatus (Fabricius, 1804)"
"Eucera lutziana (Cockerell, 1933)"
"Anthophora montana Cresson, 1869"
"Diadasia sphaeralcearum affinis Timberlake, 1939"
"Dianthidium singulare (Cresson, 1879)"
"Hoplitis nanula (Timberlake & Michener, 1950)"
"Martinapis occidentalis Zavortink & LaBerge, 1976"
"Svastra helianthelli (Cockerell, 1905)"
"Perdita albovittata Cockerell, 1895"
"Nomada simplicicoxa Swenk, 1915"
"Townsendiella rufiventris Linsley, 1942"
"Dufourea scintilla (Cockerell, 1916)"
"Hoplitis pilosifrons (Cresson, 1864)"
"Lasioglossum actinosum (Sandhouse, 1924)"
"Neolarra vandykei Michener, 1939"
"Ashmeadiella foveata Michener, 1939"
"Osmia bridwelli Sandhouse, 1939"
"Dufourea davidsoni (Cockerell, 1902)"
"Andrena nemophilae Ribble, 1968"
"Megachile subnigra Cresson, 1879"
"Atoposmia anthodyta (Michener, 1943)"
"Anthophora dammersi Timberlake, 1937"
"Osmia hurdi White, 1952"
"Osmia latisulcata Michener, 1936"
"Osmia aglaia Sandhouse, 1939"
"Perdita nigridia Timberlake, 1962"
"Andrena anatolis Linsley & MacSwain, 1961"
"Perdita perpulchra Cockerell, 1896"
"Perdita tularensis Timberlake, 1956"
"Augochloropsis metallica (Fabricius, 1793)"
"Perdita zebrata Cresson, 1878"
"Perdita rhodogastra Timberlake, 1954"
"Bombus bimaculatus Cresson, 1864"
"Megachile bakeri Cockerell, 1918"
"Andrena plumifera Cockerell, 1916"
"Osmia indeprensa Sandhouse, 1939"
"Melissodes communis Cresson, 1879"
"Epeolus interruptus Robertson, 1900"
"Epeolus asperatus Cockerell, 1909"
"Epeolus nebulosus Onuferko, 2018"
"Epeolus novomexicanus Cockerell, 1912"
"Lasioglossum tuolumnense Gibbs, 2009"
"Zacosmia maculata (Cresson, 1879)"
"Megachile mendica Cresson, 1878"
"Ashmeadiella meliloti (Cockerell, 1897)"
"Xylocopa californica Cresson, 1864"
"Megachile apicalis Spinola, 1808"
"Svastra obliqua (Say, 1837)"
"Melissodes compositus Tucker, 1909"
"Melissodes lupinus Cresson, 1879"
"Dieunomia heteropoda (Say, 1824)"
"Megachile inimica Cresson, 1872"
"Anthidiellum notatum (Latreille, 1809)"
"Osmia dolerosa Sandhouse, 1939"
"Osmia melanopleura Cockerell, 1916"
"Perdita crotonis caerulea Timberlake, 1960"
"Perdita punctifrons Timberlake, 1958"
"Osmia alpestris Rust & Bohart, 1986"
"Perdita malacothricis Timberlake, 1956"
"Perdita bilobata Timberlake, 1956"
"Andrena baeriae Timberlake, 1941"
"Ancylandrena koebelei (Timberlake, 1951)"
"Perdita wasbaueri Timberlake, 1960"
"Perdita optiva Timberlake, 1954"
"Perdita sexfasciata Timberlake, 1954"
"Hexepeolus rhodogyne Linsley & Michener, 1937"
"Perdita coldeniae Timberlake, 1954"
"Andrena aliciarum Cockerell, 1897"
"Dioxys producta producta"
"Andrena lupinorum Cockerell, 1906"
"Andrena nigripes Provancher, 1895"
"Megachile chilopsidis Cockerell, 1900"
"Andrena scutellinitens Viereck, 1917"
"Coelioxys sodalis Cresson, 1878"
"Andrena vierecki Cockerell, 1904"
"Megachile discorhina Cockerell, 1924"
"Megachile odontostoma Cockerell, 1924"
"Megachile sublaurita Mitchell, 1927"
"Anthidium jocosum Cresson, 1878"
"Ceratina melanoptera Cockerell, 1924"
"Hylaeus sejunctus Snelling, 1970"
"Eucera mohavensis (Timberlake, 1969)"
"Protohalonia amoena (Zavortink, 1982)"
"Perdita eucnides eucnides"
"Macrotera arcuata (Fox, 1893)"
"Zacosmia maculata desertorum Cockerell, 1916"
"Andrena columbiana Viereck, 1917"
"Andrena cressonii infasciata Lanham, 1949"
"Calliopsis foleyi (Timberlake, 1952)"
"Protoxaea gloriosa (Fox, 1893)"
"Calliopsis helianthi (Swenk & Cockerell, 1907)"
"Andrena submoesta Viereck, 1917"
"Nomia tetrazonata Cockerell, 1910"
"Svastra sabinensis (Cockerell, 1924)"
"Hesperapis wilmattae Cockerell, 1933"
"Perdita nitens Timberlake, 1956"
"Calliopsis anomoptera Michener, 1942"
"Exomalopsis dimidiata Timberlake, 1980"
"Colletes salicicola Cockerell, 1897"
"Hylaeus asininus (Cockerell & Casad, 1895)"
"Andrena thaspii Graenicher, 1903"
"Hylaeus nunenmacheri Bridwell, 1919"
"Hylaeus basalis (Smith, 1853)"
"Melissodes hymenoxidis Cockerell, 1906"
"Lasioglossum allonotum (Cockerell, 1936)"
"Andrena washingtoni Cockerell, 1901"
"Melecta pacifica fulvida Cresson, 1879"
"Hesperapis leucura Cockerell, 1916"
"Andrena cristata Viereck, 1917"
"Hesperapis fulvipes Crawford, 1917"
"Hesperapis macrocephala Cockerell, 1924"
"Hesperapis carinata Stevens, 1919"
"Anthophora terminalis Cresson, 1869"
"Andrena levipes LaBerge, 1967"
"Chelostoma phaceliae Michener, 1938"
"Perdita numerata Cockerell, 1895"
"Anthophora columbariae Timberlake & Cockerell, 1937"
"Lasioglossum pruinosum (Robertson, 1892)"
"Ceratina sequoiae Michener, 1936"
"Ceratina punctigena Cockerell, 1916"
"Andrena agoseridis Thorp, 1969"
"Stelis elongativentris Parker, 1987"
"Xeralictus bicuspidariae Snelling & Stage, 1995"
"Lasioglossum imitatum (Walker, 1986)"
"Lasioglossum sedi (Sandhouse, 1924)"
"Nomia tetrazonata uvaldensis Cockerell, 1930"
"Megachile davidsoni Cockerell, 1902"
"Ceratina neomexicana Cockerell, 1901"
"Macrotera mellea (Timberlake, 1954)"
"Centris caesalpiniae Cockerell, 1897"
"Colletes fulgidus longiplumosus Stephen, 1954"
"Calliopsis squamifera Timberlake, 1947"
"Andrena eothina Linsley & MacSwain, 1961"
"Andrena monogonoparia Viereck, 1917"
"Andrena foxii Cockerell, 1898"
"Sphecodosoma dicksoni (Timberlake, 1961)"
"Perdita fieldi Timberlake, 1956"
"Conanthalictus cockerelli Timberlake, 1961"
"Perdita layiae excisa Timberlake, 1956"
"Perdita scutellaris Timberlake, 1962"
"Andrena alamonis Viereck, 1917"
"Oreopasites scituli Cockerell, 1906"
"Andrena arctostaphylae Ribble, 1968"
"Dioxys producta subruber (Cockerell, 1898)"
"Andrena bucculenta LaBerge & Ribble, 1972"
"Andrena ferrugineipes LaBerge, 1977"
"Andrena nigrihirta (Ashmead, 1890)"
"Andrena obscuripostica Viereck, 1917"
"Andrena prunorum sinaloa Viereck, 1926"
"Andrena pulverea Viereck, 1917"
"Andrena puthua (Cockerell, 1910)"
"Megachile spinotulata Mitchell, 1934"
"Megachile prosopidis Cockerell, 1900"
"Stelis acutiventris Linsley, 1939"
"Calliopsis rozeni Shinn, 1965"
"Eucera pagosana (Cockerell, 1925)"
"Macrotera latior (Cockerell, 1896)"
"Perdita biguttata Timberlake, 1962"
"Atoposmia mirifica (Michener, 1954)"
"Colletes prosopidis Cockerell, 1897"
"Andrena duboisi Timberlake, 1951"
"Conanthalictus caerulescens Timberlake, 1961"
"Conanthalictus deserticola Timberlake, 1961"
"Ashmeadiella rubrella (Michener, 1949)"
"Centris atripes Mocsáry, 1899"
"Diadasia angusticeps Timberlake, 1939"
"Perdita flavipes Timberlake, 1964"
"Perdita flavicauda Timberlake, 1960"
"Colletes algarobiae Cockerell, 1900"
"Bombus franklini (Frison, 1921)"
"Andrena nothocalaidis (Cockerell, 1905)"
"Sphecodes arvensiformis Cockerell, 1904"
"Andrena bendensis Donovan, 1977"
"Andrena hamulata LaBerge & Ribble, 1975"
"Andrena colletina Cockerell, 1906"
"Lasioglossum cyaneonotum (Crawford, 1907)"
"Hesperapis parva Michener, 1937"
"Anthophora bomboides Kirby, 1837"
"Megachile mellitarsis Cresson, 1878"
"Melissodes brevipyga LaBerge, 1961"
"Lasioglossum olympiae (Cockerell, 1898)"
"Hoplitis viridimicans (Cockerell, 1897)"
"Dianthidium plenum Timberlake, 1943"
"Stelis ashmeadiellae Timberlake, 1941"
"Stelis monticola Cresson, 1878"
"Stelis montana Cresson, 1864"
"Stelis subcaerulea Cresson, 1878"
"Pseudopanurgus aethiops (Cresson, 1872)"
"Anthidium manicatum manicatum"
"Pseudopanurgus porterae (Cockerell, 1900)"
"Hylaeus punctatus (Brullé, 1832)"
"Perdita crotonis Cockerell, 1896"
"Perdita rufescens Timberlake, 1968"
"Colletes annae disseptus Timberlake, 1951"
"Colletes nigrifrons Titus, 1900"
"Hylaeus conspicuus (Metz, 1911)"
"Lasioglossum semicaeruleum (Cockerell, 1895)"
"Colletes turgiventris Timberlake, 1951"
"Andrena viridissima Ribble, 1968"
"Colletes ochraceus Swenk, 1906"
"Andrena apasta Linsley & MacSwain, 1961"
"Dufourea boregoensis (Michener, 1937)"
"Epeolus splendidus Onuferko, 2018"
"Ancylandrena timberlakei Zavortink, 1974"
"Ancylandrena rozeni Zavortink, 1994"
"Holcopasites ruthae Cooper, 1993"
"Andrena illustris LaBerge, 1977"
"Andrena subdepressa Timberlake, 1951"
"Andrena sulcata Donovan, 1977"
"Andrena timberlakei Cockerell, 1929"
"Megachile zapoteca Cresson, 1878"
"Neopasites mojavensis (Linsley, 1943)"
"Hoplitis pygmaea (Timberlake & Michener, 1950)"
"Andrena cyanosoma (Cockerell, 1916)"
"Pseudopanurgus nanulus Timberlake, 1964"
"Megachile subexilis Cockerell, 1908"
"Colletes bryanti Timberlake, 1951"
"Trachusa gummifera Thorp, 1963"
"Andrena principalis LaBerge, 1986"
"Andrena subchalybea Viereck, 1917"
"Anthophora porterae Cockerell, 1900"
"Andrena monoensis LaBerge, 1980"
"Sphecodes lautipennis Cockerell, 1908"
"Eucera fulvitarsis (Cresson, 1879)"
"Dianthidium curvatum sayi Cockerell, 1907"
"Dianthidium cressonii (Dalla Torre, 1896)"
"Ericrocis pintada Snelling & Zavortink, 1985"
"Ceratina tejonensis Cresson, 1864"
"Hoplitis bisulca (Gerstäcker, 1869)"
"Exomalopsis solidaginis Cockerell, 1898"
"Holcopasites stevensi Crawford, 1915"
"Oreopasites powelli Rozen, 1992"
"Perdita fallugiae Timberlake, 1956"
"Dufourea rhamni (Michener, 1937)"
"Calliopsis snellingi (Rozen, 1963)"
"Neolarra hurdi Shanks, 1978"
"Andrena cymatilis LaBerge, 1987"
"Andrena lawrencei Viereck & Cockerell, 1914"
"Epeolus olympiellus Cockerell, 1904"
"Andrena mesillae Cockerell, 1896"
"Andrena monilicornis Cockerell, 1896"
"Pseudopanurgus atricornis (Cresson, 1878)"
"Colletes compactus hesperius Swenk, 1906"
"Andrena livida LaBerge, 1977"
"Andrena taeniata Viereck, 1917"
"Andrena parachalybea Viereck, 1917"
"Melecta edwardsii Cresson, 1879"
"Andrena lewisorum Thorp, 1969"
"Anthophorula completa (Cockerell, 1935)"
"Neopasites sierrae (Linsley, 1943)"
"Calliopsis cazieri (Rozen, 1958)"
"Andrena chlorosoma Linsley & MacSwain, 1961"
"Andrena jessicae Cockerell, 1896"
"Andrena lauta LaBerge, 1977"
"Andrena waldmerei LaBerge & Bouseman, 1970"
"Xylocopa varipuncta Patton, 1879"
"Osmia austromaritima Michener, 1936"
"Megachile cochisiana Mitchell, 1934"
"Melecta thoracica Cresson, 1875"
"Andrena ablegata (Cockerell, 1922)"
"Andrena chalybaea (Cresson, 1878)"
"Ashmeadiella rufitarsis Michener, 1939"
"Hoplitis uvulalis (Cockerell, 1902)"
"Coelioxys erysimi Cockerell, 1912"
"Hoplitis bunocephala Michener, 1947"
"Neopasites fulviventris (Cresson, 1878)"
"Calliopsis barri (Rozen, 1959)"
"Dioxys pacifica pacifica"
"Dioxys aurifusca (Titus, 1901)"
"Andrena hurdi Lanham, 1949"
"Andrena porterae Cockerell, 1900"
"Atoposmia hebitis (Michener, 1954)"
"Calliopsis nigromaculata (Timberlake, 1952)"
"Megachile adelphodonta Cockerell, 1924"
"Andrena subapasta Thorp, 1969"
"Andrena sperryi (Cockerell, 1937)"
"Lasioglossum albohirtum (Crawford, 1907)"
"Triepeolus kathrynae Rozen, 1989"
"Hoplitis sambuci Titus, 1904"
"Nomada ultima Cockerell, 1903"
"Lasioglossum pectoraloides (Cockerell, 1895)"
"Perdita robustula Timberlake, 1956"
"Calliopsis mellipes (Timberlake, 1952)"
"Townsendiella californica Michener, 1936"
"Mesoxaea rufescens Hurd & Linsley, 1976"
"Andrena citrinihirta Viereck, 1917"
"Andrena surda Cockerell, 1910"
"Lasioglossum desertum (Smith, 1879)"
"Hoplitis mojavensis Michener, 1947"
"Osmia grindeliae Cockerell, 1910"
"Hesperapis nitidula Cockerell, 1916"
"Megachile manifesta Cresson, 1878"
"Pseudopanurgus irregularis (Cockerell, 1922)"
"Dufourea femorata Bohart, 1947"
"Coelioxys funeraria Smith, 1854"
"Nomada texana Cresson, 1872"
"Lasioglossum creberrimum (Smith, 1853)"
"Megachile lobatifrons Cockerell, 1924"
"Hylaeus timberlakei Snelling, 1970"
"Neolarra batrae Shanks, 1978"
"Calliopsis timberlakei (Rozen, 1958)"
"Andrena berberidis Cockerell, 1905"
"Andrena misella Timberlake, 1951"
"Andrena nevadensis (Cresson, 1879)"
"Andrena trevoris Cockerell, 1897"
"Osmia sandhouseae Mitchell, 1927"
"Lasioglossum cressonii (Robertson, 1890)"
"Habropoda morrisoni (Cresson, 1879)"
"Perdita aridella Timberlake, 1960"
"Protandrena leucopus Timberlake, 1976"
"Melissodes thelypodii stulta LaBerge, 1956"
"Perdita wyomingensis Cockerell, 1922"
"Brachynomada melanantha (Linsley, 1939)"
"Andrena evoluta Linsley & MacSwain, 1961"
"Conanthalictus minor Timberlake, 1961"
"Perdita sphaeralceae alticola Cockerell, 1896"
"Perdita nuda Cockerell, 1896"
"Lasioglossum zephyrum (Smith, 1853)"
"Paranomada velutina Linsley, 1939"
"Colletes paniscus paniscus"
"Pseudopanurgus euphorbiae (Timberlake, 1975)"
"Triepeolus paenepectoralis Viereck, 1905"
"Andrena olivacea Viereck, 1917"
"Perdita aureovittata soluta Timberlake, 1958"
"Hoplitis plagiostoma Michener, 1947"
"Andrena californiensis Ribble, 1968"
"Andrena submaura Linsley, 1938"
"Anthidium cochimi Snelling, 1992"
"Centris rhodomelas Timberlake, 1940"
"Megachile cleomis"
"Dianthidium heterulkei Schwarz, 1940"
"Protandrena tidestromiae Timberlake, 1976"
"Osmia brevis Cresson, 1864"
"Calliopsis gilva Shinn, 1967"
