"","scientificName","WKT","institutionCode","basisOfRecord","occurrenceID","catalogNumber","eventDate","year","month","day","georeferenceVerificationStatus","kingdom","phylum","class","order","family","scientific_name","subgenus","accepted_name","decimalLatitude","decimalLongitude"
"52","Perdita nasuta nasuta","POINT (-117.1456 36.5)","KU","PRESERVED_SPECIMEN","2095cae2-1ed6-11e3-bfac-90b11c41863e","224110","1988-07-01T00:00:00",1988,7,1,"","Animalia","Arthropoda","Insecta","Hymenoptera","Andrenidae","Perdita nasuta",NA,"Perdita nasuta",36.5,-117.1456
"53","Perdita arcuata Fox, 1893","POINT (-117.1764 36.29278)","KU","PRESERVED_SPECIMEN","23b5b4ed-1ed6-11e3-bfac-90b11c41863e","289820","1937-05-23T00:00:00",1937,5,23,"","Animalia","Arthropoda","Insecta","Hymenoptera","Andrenidae","Macrotera arcuata",NA,"Macrotera arcuata",36.29278,-117.1764
"54","Ashmeadiella prosopidis (Cockerell, 1897)","POINT (-116.6633 36.19111)","KU","PRESERVED_SPECIMEN","24e181a7-1ed6-11e3-bfac-90b11c41863e","460506","1939-04-08T00:00:00",1939,4,8,"","Animalia","Arthropoda","Insecta","Hymenoptera","Megachilidae","Ashmeadiella prosopidis",NA,"Ashmeadiella prosopidis",36.19111,-116.6633
"55","Calliopsis scutellaris scutellaris","POINT (-118.0619 36.60611)","KU","PRESERVED_SPECIMEN","256fdb91-1ed6-11e3-bfac-90b11c41863e","407080","1937-06-05T00:00:00",1937,6,5,"","Animalia","Arthropoda","Insecta","Hymenoptera","Andrenidae","Calliopsis scutellaris",NA,"Calliopsis scutellaris",36.60611,-118.0619
"56","Hylaeus episcopalis (Cockerell, 1896)","POINT (-117.1764 36.29278)","KU","PRESERVED_SPECIMEN","33b74822-1ed6-11e3-bfac-90b11c41863e","392575","1937-06-01T00:00:00",1937,6,1,"","Animalia","Arthropoda","Insecta","Hymenoptera","Colletidae","Hylaeus episcopalis",NA,"Hylaeus episcopalis",36.29278,-117.1764
"57","Perdita melanochlora Cockerell, 1922","POINT (-117.36 36.43)","KU","PRESERVED_SPECIMEN","35658ea8-1ed6-11e3-bfac-90b11c41863e","410643","1988-07-01T00:00:00",1988,7,1,"","Animalia","Arthropoda","Insecta","Hymenoptera","Andrenidae","Perdita melanochlora",NA,"Perdita melanochlora",36.43,-117.36
"58","Epeolus compactus Cresson, 1878","POINT (-115.6528 35.0125)","KU","PRESERVED_SPECIMEN","35a7bef3-b930-4d6c-8277-6ec553ec5a88","738751","1977-05-07T00:00:00",1977,5,7,"","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Epeolus compactus",NA,"Epeolus compactus",35.0125,-115.6528
"59","Perdita arcuata dinognatha Cockerell, 1922","POINT (-117.1764 36.29278)","KU","PRESERVED_SPECIMEN","3b54d609-1ed6-11e3-bfac-90b11c41863e","290028","1937-05-21T00:00:00",1937,5,21,"","Animalia","Arthropoda","Insecta","Hymenoptera","Andrenidae","Macrotera arcuata",NA,"Macrotera arcuata",36.29278,-117.1764
"60","Ashmeadiella inyoensis Michener, 1939","POINT (-118.0619 36.60611)","KU","PRESERVED_SPECIMEN","3bfaadfb-1ed6-11e3-bfac-90b11c41863e","449709","1937-06-09T00:00:00",1937,6,9,"","Animalia","Arthropoda","Insecta","Hymenoptera","Megachilidae","Ashmeadiella inyoensis",NA,"Ashmeadiella inyoensis",36.60611,-118.0619
"61","Perdita zonalis Cresson, 1879","POINT (-116.58 34.04694)","KU","PRESERVED_SPECIMEN","3c1aa2b2-1ed6-11e3-bfac-90b11c41863e","230103","1934-10-05T00:00:00",1934,10,5,"","Animalia","Arthropoda","Insecta","Hymenoptera","Andrenidae","Perdita zonalis",NA,"Perdita zonalis",34.04694,-116.58
"62","Perdita eximia Timberlake, 1964","POINT (-116.5879 36.23067)","KU","PRESERVED_SPECIMEN","3fc820a8-1ed6-11e3-bfac-90b11c41863e","299431","1966-03-13T00:00:00",1966,3,13,"","Animalia","Arthropoda","Insecta","Hymenoptera","Andrenidae","Perdita eximia",NA,"Perdita eximia",36.23067,-116.5879
"63","Diadasia martialis Timberlake, 1940","POINT (-117.0944 36.11833)","KU","PRESERVED_SPECIMEN","404addbf-1ed6-11e3-bfac-90b11c41863e","29301","1990-05-03T00:00:00",1990,5,3,"","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Diadasia martialis",NA,"Diadasia martialis",36.11833,-117.0944
"64","Anthophora dammersi Timberlake, 1937","POINT (-115.4486 35.27111)","KU","PRESERVED_SPECIMEN","41bb36f9-fb41-48ac-a6d9-ffb4aed44947","1332608","1963-04-10T00:00:00",1963,4,10,"","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Anthophora dammersi",NA,"Anthophora dammersi",35.27111,-115.4486
"65","Hesperapis arida Michener, 1936","POINT (-116.6633 35.56947)","KU","PRESERVED_SPECIMEN","48ff88c0-1ed6-11e3-bfac-90b11c41863e","814378","1979-03-23T00:00:00",1979,3,23,"","Animalia","Arthropoda","Insecta","Hymenoptera","Melittidae","Hesperapis arida",NA,"Hesperapis arida",35.56947,-116.6633
"66","Anthophora linsleyi Timberlake, 1941","POINT (-117.585 34.99444)","KU","PRESERVED_SPECIMEN","7258ce35-910f-4fda-86e8-b13c918ad61e","1330747","1949-04-27T00:00:00",1949,4,27,"","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Anthophora linsleyi",NA,"Anthophora linsleyi",34.99444,-117.585
"67","Anthophora cockerelli Timberlake, 1937","POINT (-118.0619 36.60611)","KU","PRESERVED_SPECIMEN","9083764d-ffe2-4c95-ae03-294135f77260","1331093","1937-06-14T00:00:00",1937,6,14,"","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Anthophora cockerelli",NA,"Anthophora cockerelli",36.60611,-118.0619
"68","Hesperapis fuchsi (Viereck, 1909)","POINT (-116.8872 34.86333)","KU","PRESERVED_SPECIMEN","b673e634-8031-473d-af16-edabb84b285a","1401473","1937-04-28T00:00:00",1937,4,28,"","Animalia","Arthropoda","Insecta","Hymenoptera","Melittidae","Hesperapis fuchsi",NA,"Hesperapis fuchsi",34.86333,-116.8872
"69","Anthophora hololeuca Cockerell, 1923","POINT (-118.0619 36.60611)","KU","PRESERVED_SPECIMEN","bb4856ca-a118-48b0-a1a0-e12187720cc0","1331368","1937-06-15T00:00:00",1937,6,15,"","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Anthophora hololeuca",NA,"Anthophora hololeuca",36.60611,-118.0619
"70","Anthidium paroselae Cockerell, 1898","POINT (-115.6528 35.0125)","KU","PRESERVED_SPECIMEN","0cbe9390-31f6-4d8c-95a9-b3b0dd62f410","1308035","1977-05-07T00:00:00",1977,5,7,"","Animalia","Arthropoda","Insecta","Hymenoptera","Megachilidae","Anthidium paroselae",NA,"Anthidium paroselae",35.0125,-115.6528
