"","scientificName","WKT","institutionCode","basisOfRecord","occurrenceID","catalogNumber","eventDate","year","month","day","georeferenceVerificationStatus","kingdom","phylum","class","order","family","scientific_name","subgenus","accepted_name","decimalLatitude","decimalLongitude"
"217","Lasioglossum diversopunctatum (Ellis, 1914)","POINT (-115.7808 34.8794)","BISON","PRESERVED_SPECIMEN","http://www.discoverlife.org/mp/20l?id=USGS_DRO294344","SamplingEventNumber:USGS_DRO9466 | SpecimenNumber:USGS_DRO294344","2011-08-17T00:00:00",2011,8,17,"","Animalia","Arthropoda","Insecta","Hymenoptera","Halictidae","Lasioglossum diversopunctatum",NA,"Lasioglossum diversopunctatum",34.8794,-115.7808
"218","Habropoda tristissima (Cockerell, 1904)","POINT (-117.658116 35.368574)","iNaturalist","HUMAN_OBSERVATION","https://www.inaturalist.org/observations/10385684","10385684","2018-03-23T00:00:00",2018,3,23,"","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Habropoda tristissima",NA,"Habropoda tristissima",35.368574,-117.658116
"219","Triepeolus subnitens Cockerell & Timberlake, 1929","POINT (-115.994 33.7433)","USNM","PRESERVED_SPECIMEN","http://n2t.net/ark:/65665/32277013a-3ac9-4372-9b32-29f198ec84ae","USNM 534872","1927-06-28T00:00:00",1927,6,28,"","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Triepeolus subnitens",NA,"Triepeolus subnitens",33.7433,-115.994
"220","Andrena prunorum Cockerell, 1896","POINT (-116.587542 34.056626)","SDNHM","PRESERVED_SPECIMEN","038311a3-944a-40f0-8aad-8980fe856ff2","SDNHM017374","",NA,NA,NA,"reviewed - high confidence","Animalia","Arthropoda","Insecta","Hymenoptera","Andrenidae","Andrena prunorum",NA,"Andrena prunorum",34.056626,-116.587542
"221","Bombus impatiens Cresson, 1863","POINT (-118.14993 34.665076)","iNaturalist","HUMAN_OBSERVATION","https://www.inaturalist.org/observations/99165459","99165459","2021-10-23T19:23:22",2021,10,23,"","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Bombus impatiens",NA,"Bombus impatiens",34.665076,-118.14993
"222","Ashmeadiella salviae Michener, 1939","POINT (-115.607111 34.850694)","iNaturalist","HUMAN_OBSERVATION","https://www.inaturalist.org/observations/86241108","86241108","2005-05-20T22:10:00",2005,5,20,"","Animalia","Arthropoda","Insecta","Hymenoptera","Megachilidae","Ashmeadiella salviae",NA,"Ashmeadiella salviae",34.850694,-115.607111
"223","Lasioglossum sisymbrii (Cockerell, 1895)","POINT (-116.627087 34.294429)","iNaturalist","HUMAN_OBSERVATION","https://www.inaturalist.org/observations/62015466","62015466","2020-10-07T15:35:26",2020,10,7,"","Animalia","Arthropoda","Insecta","Hymenoptera","Halictidae","Lasioglossum sisymbrii",NA,"Lasioglossum sisymbrii",34.294429,-116.627087
"224","Hesperapis regularis (Cresson, 1878)","POINT (-115.802921 33.870343)","iNaturalist","HUMAN_OBSERVATION","https://www.inaturalist.org/observations/67886298","67886298","2020-03-09T22:09:00",2020,3,9,"","Animalia","Arthropoda","Insecta","Hymenoptera","Melittidae","Hesperapis regularis",NA,"Hesperapis regularis",33.870343,-115.802921
"225","Bombus melanopygus Nylander, 1848","POINT (-116.56111 34.02472)","UCRC","PRESERVED_SPECIMEN","urn:catalog:UCRC:ENT:74320","UCRCENT74320","1983-05-07T00:00:00",1983,5,7,"","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Bombus melanopygus",NA,"Bombus melanopygus",34.02472,-116.56111
"226","Andrena boronensis Linsley & MacSwain, 1962","POINT (-117.66709 35.018)","EMEC","PRESERVED_SPECIMEN","urn:catalog:EMEC:EMEC:70516","EMEC70516","1959-04-03T00:00:00",1959,4,3,"","Animalia","Arthropoda","Insecta","Hymenoptera","Andrenidae","Andrena boronensis",NA,"Andrena boronensis",35.018,-117.66709
"227","Andrena agoseridis Thorp, 1969","POINT (-116.96781 34.44389)","EMEC","PRESERVED_SPECIMEN","urn:catalog:EMEC:EMEC:500618","EMEC500618","1962-04-07T00:00:00",1962,4,7,"","Animalia","Arthropoda","Insecta","Hymenoptera","Andrenidae","Andrena agoseridis",NA,"Andrena agoseridis",34.44389,-116.96781
"228","Agapostemon femoratus Crawford, 1901","POINT (-116.87652 36.43486)","EMEC","PRESERVED_SPECIMEN","urn:catalog:EMEC:EMEC:510257","EMEC510257","1953-03-31T00:00:00",1953,3,31,"","Animalia","Arthropoda","Insecta","Hymenoptera","Halictidae","Agapostemon femoratus",NA,"Agapostemon femoratus",36.43486,-116.87652
"229","Lasioglossum kunzei (Cockerell, 1898)","POINT (-116.87652 36.43486)","EMEC","PRESERVED_SPECIMEN","urn:catalog:EMEC:EMEC:530255","EMEC530255","1951-04-01T00:00:00",1951,4,1,"","Animalia","Arthropoda","Insecta","Hymenoptera","Halictidae","Lasioglossum kunzei",NA,"Lasioglossum kunzei",36.43486,-116.87652
"230","Lasioglossum tegulariforme (Crawford, 1907)","POINT (-116.87652 36.43486)","EMEC","PRESERVED_SPECIMEN","urn:catalog:EMEC:EMEC:536510","EMEC536510","1951-04-01T00:00:00",1951,4,1,"","Animalia","Arthropoda","Insecta","Hymenoptera","Halictidae","Lasioglossum tegulariforme",NA,"Lasioglossum tegulariforme",36.43486,-116.87652
"231","Protodufourea koso Bohart & Griswold, 1997","POINT (-117.52525 36.3205)","EMEC","PRESERVED_SPECIMEN","urn:catalog:EMEC:EMEC:543206","EMEC543206","1969-05-14T00:00:00",1969,5,14,"","Animalia","Arthropoda","Insecta","Hymenoptera","Halictidae","Protodufourea koso",NA,"Protodufourea koso",36.3205,-117.52525
"232","Conanthalictus namatophilus Timberlake, 1961","POINT (-117.49191 34.89973)","EMEC","PRESERVED_SPECIMEN","urn:catalog:EMEC:EMEC:543341","EMEC543341","1957-04-25T00:00:00",1957,4,25,"","Animalia","Arthropoda","Insecta","Hymenoptera","Halictidae","Conanthalictus namatophilus",NA,"Conanthalictus namatophilus",34.89973,-117.49191
"233","Dufourea boregoensis (Michener, 1937)","POINT (-117.49191 34.89973)","EMEC","PRESERVED_SPECIMEN","urn:catalog:EMEC:EMEC:543576","EMEC543576","1957-04-25T00:00:00",1957,4,25,"","Animalia","Arthropoda","Insecta","Hymenoptera","Halictidae","Dufourea boregoensis",NA,"Dufourea boregoensis",34.89973,-117.49191
"234","Osmia subfasciata Cresson, 1872","POINT (-116.87652 36.43486)","EMEC","PRESERVED_SPECIMEN","urn:catalog:EMEC:EMEC:568876","EMEC568876","1939-04-08T00:00:00",1939,4,8,"","Animalia","Arthropoda","Insecta","Hymenoptera","Megachilidae","Osmia subfasciata",NA,"Osmia subfasciata",36.43486,-116.87652
"235","Eucera venusta (Timberlake, 1961)","POINT (-116.29503 36.05214)","EMEC","PRESERVED_SPECIMEN","urn:catalog:EMEC:EMEC:1134408","EMEC1134408","1960-05-03T00:00:00",1960,5,3,"","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Protohalonia venusta",NA,"Protohalonia venusta",36.05214,-116.29503
"236","Perdita socia Timberlake, 1968","POINT (-117.99792 36.26533)","EMEC","PRESERVED_SPECIMEN","urn:catalog:EMEC:EMEC:70590","EMEC70590","1957-10-06T00:00:00",1957,10,6,"","Animalia","Arthropoda","Insecta","Hymenoptera","Andrenidae","Perdita socia",NA,"Perdita socia",36.26533,-117.99792
"237","Andrena anatolis Linsley & MacSwain, 1961","POINT (-117.47749 34.31168)","EMEC","PRESERVED_SPECIMEN","urn:catalog:EMEC:EMEC:500836","EMEC500836","1936-04-25T00:00:00",1936,4,25,"","Animalia","Arthropoda","Insecta","Hymenoptera","Andrenidae","Andrena anatolis",NA,"Andrena anatolis",34.31168,-117.47749
"238","Nomia tetrazonata Cockerell, 1910","POINT (-117.14796 36.11266)","EMEC","PRESERVED_SPECIMEN","urn:catalog:EMEC:EMEC:542588","EMEC542588","1957-04-24T00:00:00",1957,4,24,"","Animalia","Arthropoda","Insecta","Hymenoptera","Halictidae","Nomia tetrazonata",NA,"Nomia tetrazonata",36.11266,-117.14796
"239","Dufourea latifrons Timberlake, 1939","POINT (-115.24649 34.73338)","EMEC","PRESERVED_SPECIMEN","urn:catalog:EMEC:EMEC:544117","EMEC544117","1958-04-12T00:00:00",1958,4,12,"","Animalia","Arthropoda","Insecta","Hymenoptera","Halictidae","Dufourea latifrons",NA,"Dufourea latifrons",34.73338,-115.24649
"240","Dufourea malacothricis Timberlake, 1939","POINT (-115.74444 34.55777)","EMEC","PRESERVED_SPECIMEN","urn:catalog:EMEC:EMEC:544153","EMEC544153","1966-04-06T00:00:00",1966,4,6,"","Animalia","Arthropoda","Insecta","Hymenoptera","Halictidae","Dufourea malacothricis",NA,"Dufourea malacothricis",34.55777,-115.74444
"241","Bombus fervidus (Fabricius, 1798)","POINT (-116.2175 35.81611)","LACM","PRESERVED_SPECIMEN","urn:catalog:LACM:ENT:2056","LACMENT2056","1937-06-24T00:00:00",1937,6,24,"","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Bombus fervidus",NA,"Bombus fervidus",35.81611,-116.2175
"242","Ancylandrena larreae (Timberlake, 1951)","POINT (-115.6534 34.78165)","EMEC","PRESERVED_SPECIMEN","urn:catalog:EMEC:EMEC:500362","EMEC500362","1978-05-13T00:00:00",1978,5,13,"","Animalia","Arthropoda","Insecta","Hymenoptera","Andrenidae","Ancylandrena larreae",NA,"Ancylandrena larreae",34.78165,-115.6534
"243","Lasioglossum hyalinum (Crawford, 1907)","POINT (-118.12927 36.80229)","EMEC","PRESERVED_SPECIMEN","urn:catalog:EMEC:EMEC:529307","EMEC529307","1977-05-30T00:00:00",1977,5,30,"","Animalia","Arthropoda","Insecta","Hymenoptera","Halictidae","Lasioglossum hyalinum",NA,"Lasioglossum hyalinum",36.80229,-118.12927
"244","Conanthalictus caerulescens Timberlake, 1961","POINT (-117.55028 36.35182)","EMEC","PRESERVED_SPECIMEN","urn:catalog:EMEC:EMEC:543211","EMEC543211","1969-05-12T00:00:00",1969,5,12,"","Animalia","Arthropoda","Insecta","Hymenoptera","Halictidae","Conanthalictus caerulescens",NA,"Conanthalictus caerulescens",36.35182,-117.55028
"245","Melissodes appressa LaBerge, 1961","POINT (-118.0253 36.31571)","EMEC","PRESERVED_SPECIMEN","urn:catalog:EMEC:EMEC:728400","EMEC728400","1956-09-09T00:00:00",1956,9,9,"","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Melissodes appressa",NA,"Melissodes appressa",36.31571,-118.0253
"246","Macrotera nigrella (Timberlake, 1954)","POINT (-116.80656 36.36491)","EMEC","PRESERVED_SPECIMEN","urn:catalog:EMEC:EMEC:70581","EMEC70581","1939-07-03T00:00:00",1939,7,3,"","Animalia","Arthropoda","Insecta","Hymenoptera","Andrenidae","Macrotera nigrella",NA,"Macrotera nigrella",36.36491,-116.80656
"247","Ancylandrena koebelei (Timberlake, 1951)","POINT (-117.14796 36.11266)","EMEC","PRESERVED_SPECIMEN","urn:catalog:EMEC:EMEC:500034","EMEC500034","1957-04-24T00:00:00",1957,4,24,"","Animalia","Arthropoda","Insecta","Hymenoptera","Andrenidae","Ancylandrena koebelei",NA,"Ancylandrena koebelei",36.11266,-117.14796
"248","Halictus rubicundus (Christ, 1791)","POINT (-118.12927 36.80229)","EMEC","PRESERVED_SPECIMEN","urn:catalog:EMEC:EMEC:525712","EMEC525712","1977-05-30T00:00:00",1977,5,30,"","Animalia","Arthropoda","Insecta","Hymenoptera","Halictidae","Halictus rubicundus",NA,"Halictus rubicundus",36.80229,-118.12927
"249","Dufourea sandhouseae (Michener, 1937)","POINT (-115.82723 33.73666)","EMEC","PRESERVED_SPECIMEN","urn:catalog:EMEC:EMEC:544802","EMEC544802","1963-04-11T00:00:00",1963,4,11,"","Animalia","Arthropoda","Insecta","Hymenoptera","Halictidae","Dufourea sandhouseae",NA,"Dufourea sandhouseae",33.73666,-115.82723
"250","Dufourea virgata (Cockerell, 1898)","POINT (-115.94492 33.77978)","EMEC","PRESERVED_SPECIMEN","urn:catalog:EMEC:EMEC:545847","EMEC545847","1963-04-11T00:00:00",1963,4,11,"","Animalia","Arthropoda","Insecta","Hymenoptera","Halictidae","Dufourea virgata",NA,"Dufourea virgata",33.77978,-115.94492
"251","Lasioglossum clematisellum (Cockerell, 1904)","POINT (-117.94537 34.50642)","EMEC","PRESERVED_SPECIMEN","urn:catalog:EMEC:EMEC:528478","EMEC528478","1956-05-12T00:00:00",1956,5,12,"","Animalia","Arthropoda","Insecta","Hymenoptera","Halictidae","Lasioglossum clematisellum",NA,"Lasioglossum clematisellum",34.50642,-117.94537
"252","Conanthalictus bakeri Crawford, 1907","POINT (-117.59323 36.27311)","EMEC","PRESERVED_SPECIMEN","urn:catalog:EMEC:EMEC:543174","EMEC543174","1969-05-12T00:00:00",1969,5,12,"","Animalia","Arthropoda","Insecta","Hymenoptera","Halictidae","Conanthalictus bakeri",NA,"Conanthalictus bakeri",36.27311,-117.59323
"253","Conanthalictus minor Timberlake, 1961","POINT (-116.10397 35.14069)","EMEC","PRESERVED_SPECIMEN","urn:catalog:EMEC:EMEC:543318","EMEC543318","1977-04-23T00:00:00",1977,4,23,"","Animalia","Arthropoda","Insecta","Hymenoptera","Halictidae","Conanthalictus minor",NA,"Conanthalictus minor",35.14069,-116.10397
"254","Conanthalictus wilmattae Cockerell, 1936","POINT (-115.94492 33.77978)","EMEC","PRESERVED_SPECIMEN","urn:catalog:EMEC:EMEC:543471","EMEC543471","1963-04-11T00:00:00",1963,4,11,"","Animalia","Arthropoda","Insecta","Hymenoptera","Halictidae","Conanthalictus wilmattae",NA,"Conanthalictus wilmattae",33.77978,-115.94492
"255","Protohalonia venusta (Timberlake, 1961)","POINT (-116.2986 36.10625)","EMEC","PRESERVED_SPECIMEN","urn:catalog:EMEC:EMEC:1134420","EMEC1134420","1960-05-03T00:00:00",1960,5,3,"","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Protohalonia venusta",NA,"Protohalonia venusta",36.10625,-116.2986
"256","Bombus rufocinctus Cresson, 1864","POINT (-116.2175 35.81611)","LACM","PRESERVED_SPECIMEN","urn:catalog:LACM:ENT:1254","LACMENT1254","1937-06-24T00:00:00",1937,6,24,"","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Bombus rufocinctus",NA,"Bombus rufocinctus",35.81611,-116.2175
"257","Bombus vandykei (Frison, 1927)","POINT (-117.68611 34.425)","UCRC","PRESERVED_SPECIMEN","urn:catalog:UCRC:ENT:295943","UCRCENT295943","1997-05-27T00:00:00",1997,5,27,"","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Bombus vandykei",NA,"Bombus vandykei",34.425,-117.68611
"258","Dufourea nudicornis Timberlake, 1939","POINT (-116.2986 36.10625)","EMEC","PRESERVED_SPECIMEN","urn:catalog:EMEC:EMEC:544529","EMEC544529","1960-05-03T00:00:00",1960,5,3,"","Animalia","Arthropoda","Insecta","Hymenoptera","Halictidae","Dufourea nudicornis",NA,"Dufourea nudicornis",36.10625,-116.2986
"259","Osmia sedula Sandhouse, 1924","POINT (-117.85982 35.43643)","EMEC","PRESERVED_SPECIMEN","urn:catalog:EMEC:EMEC:568758","EMEC568758","1949-04-26T00:00:00",1949,4,26,"","Animalia","Arthropoda","Insecta","Hymenoptera","Megachilidae","Osmia sedula",NA,"Osmia sedula",35.43643,-117.85982
"260","Perdita falcata Timberlake, 1964","POINT (-117.14796 36.11266)","EMEC","PRESERVED_SPECIMEN","urn:catalog:EMEC:EMEC:70571","EMEC70571","1957-04-24T00:00:00",1957,4,24,"","Animalia","Arthropoda","Insecta","Hymenoptera","Andrenidae","Perdita falcata",NA,"Perdita falcata",36.11266,-117.14796
"261","Lasioglossum punctatoventre (Crawford, 1907)","POINT (-118.18885 35.01483)","EMEC","PRESERVED_SPECIMEN","urn:catalog:EMEC:EMEC:535459","EMEC535459","1968-03-30T00:00:00",1968,3,30,"","Animalia","Arthropoda","Insecta","Hymenoptera","Halictidae","Lasioglossum punctatoventre",NA,"Lasioglossum punctatoventre",35.01483,-118.18885
"262","Andrena quadrilimbata LaBerge, 1977","POINT (-117.14796 36.11266)","EMEC","PRESERVED_SPECIMEN","urn:catalog:EMEC:EMEC:70539","EMEC70539","1955-04-08T00:00:00",1955,4,8,"","Animalia","Arthropoda","Insecta","Hymenoptera","Andrenidae","Andrena quadrilimbata",NA,"Andrena quadrilimbata",36.11266,-117.14796
"263","Dufourea vandykei Bohart, 1948","POINT (-117.59323 36.27311)","EMEC","PRESERVED_SPECIMEN","urn:catalog:EMEC:EMEC:545560","EMEC545560","1969-05-12T00:00:00",1969,5,12,"","Animalia","Arthropoda","Insecta","Hymenoptera","Halictidae","Dufourea vandykei",NA,"Dufourea vandykei",36.27311,-117.59323
"264","Bombus nevadensis Cresson, 1874","POINT (-116.2175 35.81611)","LACM","PRESERVED_SPECIMEN","urn:catalog:LACM:ENT:370","LACMENT370","1937-06-24T00:00:00",1937,6,24,"","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Bombus nevadensis",NA,"Bombus nevadensis",35.81611,-116.2175
"265","Bombus pensylvanicus (De Geer, 1773)","POINT (-115.56 35.0175)","LACM","PRESERVED_SPECIMEN","urn:catalog:LACM:ENT:1709","LACMENT1709","1931-04-13T00:00:00",1931,4,13,"","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Bombus pensylvanicus",NA,"Bombus pensylvanicus",35.0175,-115.56
"266","Perdita digressa Timberlake, 1968","POINT (-116.81587 34.67444)","EMEC","PRESERVED_SPECIMEN","urn:catalog:EMEC:EMEC:70567","EMEC70567","1960-04-19T00:00:00",1960,4,19,"","Animalia","Arthropoda","Insecta","Hymenoptera","Andrenidae","Perdita digressa",NA,"Perdita digressa",34.67444,-116.81587
"267","Ancylandrena timberlakei Zavortink, 1974","POINT (-117.59323 36.27311)","EMEC","PRESERVED_SPECIMEN","urn:catalog:EMEC:EMEC:500416","EMEC500416","1969-05-12T00:00:00",1969,5,12,"","Animalia","Arthropoda","Insecta","Hymenoptera","Andrenidae","Ancylandrena timberlakei",NA,"Ancylandrena timberlakei",36.27311,-117.59323
"268","Andrena rozeni Linsley & MacSwain, 1955","POINT (-114.82207 34.85257)","EMEC","PRESERVED_SPECIMEN","urn:catalog:EMEC:EMEC:70542","EMEC70542","1930-03-06T00:00:00",1930,3,6,"","Animalia","Arthropoda","Insecta","Hymenoptera","Andrenidae","Andrena rozeni",NA,"Andrena rozeni",34.85257,-114.82207
"269","Dufourea australis (Michener, 1937)","POINT (-117.85982 35.43643)","EMEC","PRESERVED_SPECIMEN","urn:catalog:EMEC:EMEC:543474","EMEC543474","1949-05-26T00:00:00",1949,5,26,"","Animalia","Arthropoda","Insecta","Hymenoptera","Halictidae","Dufourea australis",NA,"Dufourea australis",35.43643,-117.85982
"270","Perdita pusilla Timberlake, 1964","POINT (-117.8852 34.90206)","EMEC","PRESERVED_SPECIMEN","urn:catalog:EMEC:EMEC:70587","EMEC70587","1960-05-07T00:00:00",1960,5,7,"","Animalia","Arthropoda","Insecta","Hymenoptera","Andrenidae","Perdita pusilla",NA,"Perdita pusilla",34.90206,-117.8852
"271","Perdita flaviceps Timberlake, 1960","POINT (-117.1764 36.29278)","KU","PRESERVED_SPECIMEN","1ae2a495-1ed6-11e3-bfac-90b11c41863e","299455","1937-05-23T00:00:00",1937,5,23,"","Animalia","Arthropoda","Insecta","Hymenoptera","Andrenidae","Perdita flaviceps",NA,"Perdita flaviceps",36.29278,-117.1764
"272","Osmia nanula Cockerell, 1897","POINT (-117.45 34.95)","KU","PRESERVED_SPECIMEN","1f61dc4e-1ed6-11e3-bfac-90b11c41863e","440331","1936-05-16T00:00:00",1936,5,16,"","Animalia","Arthropoda","Insecta","Hymenoptera","Megachilidae","Osmia nanula",NA,"Osmia nanula",34.95,-117.45
"273","Ashmeadiella erema Michener, 1939","POINT (-117.1764 36.29278)","KU","PRESERVED_SPECIMEN","2404a311-1ed6-11e3-bfac-90b11c41863e","449676","1937-05-25T00:00:00",1937,5,25,"","Animalia","Arthropoda","Insecta","Hymenoptera","Megachilidae","Ashmeadiella erema",NA,"Ashmeadiella erema",36.29278,-117.1764
"274","Colletes gypsicolens Cockerell, 1897","POINT (-117.6917 35.42194)","KU","PRESERVED_SPECIMEN","33356aa4-1ed6-11e3-bfac-90b11c41863e","392974","1934-10-28T00:00:00",1934,10,28,"","Animalia","Arthropoda","Insecta","Hymenoptera","Colletidae","Colletes gypsicolens",NA,"Colletes gypsicolens",35.42194,-117.6917
"275","Osmia densa Cresson, 1864","POINT (-117.45 34.95)","KU","PRESERVED_SPECIMEN","3c4f9090-1ed6-11e3-bfac-90b11c41863e","464487","1936-05-16T00:00:00",1936,5,16,"","Animalia","Arthropoda","Insecta","Hymenoptera","Megachilidae","Osmia densa",NA,"Osmia densa",34.95,-117.45
"276","Hylaeus mesillae (Cockerell, 1896)","POINT (-117.5908 36.26806)","KU","PRESERVED_SPECIMEN","44b0555c-1ed6-11e3-bfac-90b11c41863e","996496","1961-05-06T00:00:00",1961,5,6,"","Animalia","Arthropoda","Insecta","Hymenoptera","Colletidae","Hylaeus mesillae",NA,"Hylaeus mesillae",36.26806,-117.5908
"277","Anthophora vannigera Timberlake, 1951","POINT (-117.3333 34.59889)","KU","PRESERVED_SPECIMEN","9463238d-2aec-4657-8e23-28f9f2649557","1361903","1938-04-17T00:00:00",1938,4,17,"","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Anthophora vannigera",NA,"Anthophora vannigera",34.59889,-117.3333
"278","Dufourea sandhouseae arida Bohart, 1949","POINT (-117.3333 34.59889)","KU","PRESERVED_SPECIMEN","1b67e1e7-1ed6-11e3-bfac-90b11c41863e","233150","1938-04-17T00:00:00",1938,4,17,"","Animalia","Arthropoda","Insecta","Hymenoptera","Halictidae","Dufourea sandhouseae",NA,"Dufourea sandhouseae",34.59889,-117.3333
"279","Anthidium emarginatum (Say, 1824)","POINT (-118.0619 36.60611)","KU","PRESERVED_SPECIMEN","1d298bcc-1ed6-11e3-bfac-90b11c41863e","436021","1937-06-05T00:00:00",1937,6,5,"","Animalia","Arthropoda","Insecta","Hymenoptera","Megachilidae","Anthidium emarginatum",NA,"Anthidium emarginatum",36.60611,-118.0619
"280","Chelostoma californicum Cresson, 1878","POINT (-117.45 34.95)","KU","PRESERVED_SPECIMEN","2011fa4c-1ed6-11e3-bfac-90b11c41863e","559018","1936-05-16T00:00:00",1936,5,16,"","Animalia","Arthropoda","Insecta","Hymenoptera","Megachilidae","Chelostoma californicum",NA,"Chelostoma californicum",34.95,-117.45
"281","Anthophora estebana Cockerell, 1923","POINT (-117.5908 36.26806)","KU","PRESERVED_SPECIMEN","36d9d1df-b8ee-44ee-b295-7e0e8e8b642d","1331165","1980-05-24T00:00:00",1980,5,24,"","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Anthophora estebana",NA,"Anthophora estebana",36.26806,-117.5908
"282","Anthophora platti Timberlake, 1951","POINT (-118.1156 34.57944)","KU","PRESERVED_SPECIMEN","36fbdf47-6546-4a1d-8334-f2a1f50ad161","1361602","1976-04-11T00:00:00",1976,4,11,"","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Anthophora platti",NA,"Anthophora platti",34.57944,-118.1156
"283","Atoposmia rupestris (Cockerell, 1935)","POINT (-117.585 34.99444)","KU","PRESERVED_SPECIMEN","3a757d66-90dc-4445-9e5e-8ed048bbcd63","1567109","1964-04-11T00:00:00",1964,4,11,"","Animalia","Arthropoda","Insecta","Hymenoptera","Megachilidae","Atoposmia rupestris",NA,"Atoposmia rupestris",34.99444,-117.585
"284","Osmia melanopleura Cockerell, 1916","POINT (-117.45 34.95)","KU","PRESERVED_SPECIMEN","3ea295e2-1ed6-11e3-bfac-90b11c41863e","464657","1936-05-16T00:00:00",1936,5,16,"","Animalia","Arthropoda","Insecta","Hymenoptera","Megachilidae","Osmia melanopleura",NA,"Osmia melanopleura",34.95,-117.45
"285","Neopasites timberlakei (Linsley, 1943)","POINT (-117.585 34.99444)","KU","PRESERVED_SPECIMEN","6577074f-d4ae-4bb2-97cd-cc6ce1cd6419","1442351","1962-04-18T00:00:00",1962,4,18,"","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Neopasites timberlakei",NA,"Neopasites timberlakei",34.99444,-117.585
"286","Anthophora affabilis Cresson, 1879","POINT (-117.6489 34.9994)","KU","PRESERVED_SPECIMEN","1d34acf6-1ed6-11e3-bfac-90b11c41863e","483297","1959-03-27T00:00:00",1959,3,27,"","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Anthophora affabilis",NA,"Anthophora affabilis",34.9994,-117.6489
"287","Eucera phaceliae (Cockerell, 1911)","POINT (-117.6573 36.48722)","KU","PRESERVED_SPECIMEN","1fa913d7-1ed6-11e3-bfac-90b11c41863e","500037","1980-06-01T00:00:00",1980,6,1,"","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Eucera phaceliae",NA,"Eucera phaceliae",36.48722,-117.6573
"288","Colletes louisae Cockerell, 1897","POINT (-115.3153 35.52167)","KU","PRESERVED_SPECIMEN","3343a8ae-1ed6-11e3-bfac-90b11c41863e","391914","1975-10-06T00:00:00",1975,10,6,"","Animalia","Arthropoda","Insecta","Hymenoptera","Colletidae","Colletes louisae",NA,"Colletes louisae",35.52167,-115.3153
"289","Colletes stepheni Timberlake, 1958","POINT (-116.8667 36.45556)","KU","PRESERVED_SPECIMEN","3346af36-1ed6-11e3-bfac-90b11c41863e","391215","1980-03-20T00:00:00",1980,3,20,"","Animalia","Arthropoda","Insecta","Hymenoptera","Colletidae","Colletes stepheni",NA,"Colletes stepheni",36.45556,-116.8667
"290","Osmia grinnelli Cockerell, 1910","POINT (-118.0619 36.60611)","KU","PRESERVED_SPECIMEN","3901460e-1ed6-11e3-bfac-90b11c41863e","463595","1937-05-19T00:00:00",1937,5,19,"","Animalia","Arthropoda","Insecta","Hymenoptera","Megachilidae","Osmia grinnelli",NA,"Osmia grinnelli",36.60611,-118.0619
"291","Ashmeadiella breviceps Michener, 1939","POINT (-116.5933 35.29999)","KU","PRESERVED_SPECIMEN","3cd29481-1ed6-11e3-bfac-90b11c41863e","449641","1953-04-26T00:00:00",1953,4,26,"","Animalia","Arthropoda","Insecta","Hymenoptera","Megachilidae","Ashmeadiella breviceps",NA,"Ashmeadiella breviceps",35.29999,-116.5933
"292","Dioxys pomonae timberlakei Hurd, 1958","POINT (-117.585 34.99444)","KU","PRESERVED_SPECIMEN","c30cf8b9-bd91-49a2-a678-365d887948cb","1449404","1964-04-11T00:00:00",1964,4,11,"","Animalia","Arthropoda","Insecta","Hymenoptera","Megachilidae","Dioxys pomonae",NA,"Dioxys pomonae",34.99444,-117.585
"293","Atoposmia panamintensis (Michener, 1943)","POINT (-117.0944 36.11833)","KU","PRESERVED_SPECIMEN","1a0de22a-1ed6-11e3-bfac-90b11c41863e","460801","1937-06-18T00:00:00",1937,6,18,"","Animalia","Arthropoda","Insecta","Hymenoptera","Megachilidae","Atoposmia panamintensis",NA,"Atoposmia panamintensis",36.11833,-117.0944
"294","Perdita nasuta Timberlake, 1962","POINT (-117.0944 36.11833)","KU","PRESERVED_SPECIMEN","2008dddb-1ed6-11e3-bfac-90b11c41863e","413054","1957-04-22T00:00:00",1957,4,22,"","Animalia","Arthropoda","Insecta","Hymenoptera","Andrenidae","Perdita nasuta",NA,"Perdita nasuta",36.11833,-117.0944
